entry_id,公开标题,阅读顺序,中文名称,English title,适合谁,一句话说明,GitHub链接,飞书链接,资产类型,冻结日期,复核日期,品牌标识,Brand,SEO关键词,状态
R001,宇多Yul细胞/yulcell | 普通读者入口：从这里开始,01,普通读者入口：从这里开始,Start here,第一次打开项目的人,先弄清项目能回答什么、不能回答什么。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/start-here.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblVZxT68e7JiBTv,阅读入口,2026-07-14,2026-07-14,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R002,宇多Yul细胞/yulcell | 2026 年 7 月中旬更新说明,02,2026 年 7 月中旬更新说明,Mid-July update,所有读者,用几分钟看懂这次新增了什么。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/mid-july-2026-update.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblVZxT68e7JiBTv,更新说明,2026-07-14,2026-07-14,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R003,宇多Yul细胞/yulcell | 15 条结论,03,15 条结论,15 takeaways,普通读者、学生,先建立判断抗衰说法的基本框架。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/ten-takeaways.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblVZxT68e7JiBTv,阅读入口,2026-07-14,2026-07-14,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R004,宇多Yul细胞/yulcell | 证据权重怎么看,04,证据权重怎么看,How evidence is weighted,想学会判断证据的人,分清人体结局、指标、动物和机制研究。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/evidence-weight.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblLnS2g439w9pir,方法说明,2026-07-14,2026-07-14,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R005,宇多Yul细胞/yulcell | 大众主题速读,05,大众主题速读,Topic guide,关心运动、睡眠和代谢的人,按主题读结论，不必先翻论文。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/topics.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblgAIsjA1UR4jLr,阅读入口,2026-07-14,2026-07-14,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R006,宇多Yul细胞/yulcell | 最常见 30 个补剂,06,最常见 30 个补剂,30 common supplements,想查补剂的人,先看常见误解和安全边界。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/supplements-top-30.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbliLsUC2T8lXHla,补剂入口,2026-07-14,2026-07-14,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R007,宇多Yul细胞/yulcell | 护肤与外观抗老速读,07,护肤与外观抗老速读,Skin and appearance guide,关心防晒、皱纹和医美的人,把皮肤改善和延长寿命分开看。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/skin.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbliLsUC2T8lXHla,皮肤入口,2026-07-14,2026-07-14,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R008,宇多Yul细胞/yulcell | 哪些内容必须先问医生,08,哪些内容必须先问医生,Ask a clinician first,看到药物、医美或高剂量补剂的人,识别不能自己照表行动的内容。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/content/public-reader/doctor-first.md,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblVZxT68e7JiBTv,安全边界,2026-07-14,2026-07-14,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R009,宇多Yul细胞/yulcell | 研究热力图,09,研究热力图,Research heatmaps,普通读者、内容团队,看研究多不多，不把热度误当效果。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/blob/main/docs/research-heatmap-2026-07.html,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tblASMHdK01yuvjL,视觉资产,2026-07-14,2026-07-14,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
R010,宇多Yul细胞/yulcell | 前 50 个常见成分卡,10,前 50 个常见成分卡,Top 50 ingredient cards,普通读者、内容团队,一张卡看一个成分的证据和提醒。,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn/tree/main/docs/assets/visual-assets/2026-07/ingredient-cards,https://ucngl3rlrux2.feishu.cn/wiki/WriBw4TXZiOsjQkJWk8ctL1xnVg?table=tbliLsUC2T8lXHla,视觉资产,2026-07-14,2026-07-14,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 长寿抗衰证据图谱, 健康寿命证据图谱",公开
