topic_id,update_month,topic,total_evidence_items,a_count,b_count,ab_count,a_share_percent,ab_share_percent,items_per_a_evidence_proxy,evidence_yield_label,reader_note,last_checked
身体活动与健康寿命,2026-06,身体活动与健康寿命,259,179,80,259,69.1,100.0,1.4,A 级集中,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
饮食模式与死亡风险,2026-06,饮食模式与死亡风险,212,139,73,212,65.6,100.0,1.5,A 级集中,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
心肺适能与死亡风险,2026-06,心肺适能与死亡风险,211,137,74,211,64.9,100.0,1.5,A 级集中,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
LDL-C/apoB 与心血管风险,2026-06,LDL-C/apoB 与心血管风险,206,102,104,206,49.5,100.0,2.0,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
GLP-1、减重与心代谢结局,2026-06,GLP-1、减重与心代谢结局,206,68,138,206,33.0,100.0,3.0,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
血压与健康寿命,2026-06,血压与健康寿命,205,101,104,205,49.3,100.0,2.0,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
抗阻训练、肌肉与衰弱,2026-06,抗阻训练、肌肉与衰弱,204,118,86,204,57.8,100.0,1.7,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
二甲双胍与衰老,2026-06,二甲双胍与衰老,192,0,192,192,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
限时进食与代谢健康,2026-06,限时进食与代谢健康,189,0,189,189,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
微生物组与炎症性衰老,2026-06,微生物组与炎症性衰老,147,0,147,147,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
热量限制与人体衰老,2026-06,热量限制与人体衰老,133,0,133,133,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
睡眠与健康结局,2026-06,睡眠与健康结局,118,58,60,118,49.2,100.0,2.0,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
表观遗传时钟,2026-06,表观遗传时钟,118,0,118,118,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-06-29
