target_id,update_month,name_zh,name_en,category,pubmed_total_count_20y,pubmed_retracted_count_20y,retractions_per_1000_publications,health_evidence,skin_evidence,best_evidence_grade,ab_evidence_surface_count,ab_evidence_surface_share_percent,publications_per_ab_surface_proxy,evidence_yield_score_0_100,evidence_yield_label,commercial_overclaim_risk,reader_note,last_checked
S001,2026-09,维生素 D,Vitamin D,vitamin,25839,50,1.94,B：中等,D：很早期,B,1,50.0,25839.0,36.3,发表多；一个场景为A/B,中,20年发表 25839 篇；A/B 证据面 1/2；每1000篇撤稿 1.94。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S002,2026-09,维生素 C,Vitamin C,vitamin,3045,11,3.61,C：有限,C：有限,C,0,0.0,,23.0,发表多；两个场景均低于B,中,20年发表 3045 篇；A/B 证据面 0/2；每1000篇撤稿 3.61。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S003,2026-09,Omega-3,Omega-3 Fatty Acids,fatty_acid,10259,18,1.75,B：中等,C：有限,B,1,50.0,10259.0,39.9,发表多；一个场景为A/B,中,20年发表 10259 篇；A/B 证据面 1/2；每1000篇撤稿 1.75。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S004,2026-09,胶原蛋白/胶原肽,Collagen Peptides,protein,360,0,0.0,D：很早期,C：有限,C,0,0.0,,31.2,小分母/早期且宣传风险高,高,20年发表 360 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S005,2026-09,蛋白粉/必需氨基酸,Protein / Essential Amino Acids,protein,453,0,0.0,B：中等,D：很早期,B,1,50.0,453.0,60.0,发表较少；有A/B场景,中,20年发表 453 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S006,2026-09,肌酸,Creatine,sports_nutrition,1657,0,0.0,B：中等,D：很早期,B,1,50.0,1657.0,49.7,发表多；一个场景为A/B,中,20年发表 1657 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S007,2026-09,钙/镁,Calcium / Magnesium,mineral,16522,29,1.76,B：中等,D：很早期,B,1,50.0,16522.0,37.9,发表多；一个场景为A/B,中,20年发表 16522 篇；A/B 证据面 1/2；每1000篇撤稿 1.76。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S008,2026-09,锌,Zinc,mineral,11263,30,2.66,C：有限,C：有限,C,0,0.0,,19.7,发表多；两个场景均低于B,中,20年发表 11263 篇；A/B 证据面 0/2；每1000篇撤稿 2.66。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S009,2026-09,辅酶 Q10,Coenzyme Q10,mitochondrial,1405,6,4.27,C：有限,D：很早期,C,0,0.0,,25.4,发表多；两个场景均低于B,高,20年发表 1405 篇；A/B 证据面 0/2；每1000篇撤稿 4.27。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S010,2026-09,褪黑素,Melatonin,sleep,4228,36,8.51,B：中等,D：很早期,B,1,50.0,4228.0,44.1,发表多；一个场景为A/B,中,20年发表 4228 篇；A/B 证据面 1/2；每1000篇撤稿 8.51。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
