topic_id,update_month,topic,total_evidence_items,a_count,b_count,ab_count,a_share_percent,ab_share_percent,items_per_a_evidence_proxy,evidence_yield_label,reader_note,last_checked
血压与健康寿命,2026-09,血压与健康寿命,100,16,84,100,16.0,100.0,6.2,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
热量限制与人体衰老,2026-09,热量限制与人体衰老,100,0,59,59,0.0,59.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
心肺适能与死亡风险,2026-09,心肺适能与死亡风险,100,25,71,96,25.0,96.0,4.0,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
饮食模式与死亡风险,2026-09,饮食模式与死亡风险,100,59,41,100,59.0,100.0,1.7,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
表观遗传时钟,2026-09,表观遗传时钟,100,0,36,36,0.0,36.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
GLP-1、减重与心代谢结局,2026-09,GLP-1、减重与心代谢结局,100,19,81,100,19.0,100.0,5.3,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
LDL-C/apoB 与心血管风险,2026-09,LDL-C/apoB 与心血管风险,100,10,89,99,10.0,99.0,10.0,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
身体活动与健康寿命,2026-09,身体活动与健康寿命,100,43,57,100,43.0,100.0,2.3,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
抗阻训练、肌肉与衰弱,2026-09,抗阻训练、肌肉与衰弱,100,30,70,100,30.0,100.0,3.3,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
睡眠与健康结局,2026-09,睡眠与健康结局,100,24,76,100,24.0,100.0,4.2,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
限时进食与代谢健康,2026-09,限时进食与代谢健康,100,0,100,100,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
微生物组与炎症性衰老,2026-09,微生物组与炎症性衰老,77,0,38,38,0.0,49.4,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
Klotho / IL-11,2026-09,Klotho / IL-11,68,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
自噬/线粒体自噬,2026-09,自噬/线粒体自噬,53,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
二甲双胍与衰老,2026-09,二甲双胍与衰老,46,0,43,43,0.0,93.5,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
Senolytics 清除衰老细胞,2026-09,Senolytics 清除衰老细胞,46,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
雷帕霉素/mTOR 与衰老,2026-09,雷帕霉素/mTOR 与衰老,44,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
NAD/NMN/NR,2026-09,NAD/NMN/NR,36,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
部分重编程,2026-09,部分重编程,29,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
ITP 小鼠寿命干预,2026-09,ITP 小鼠寿命干预,1,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-09-21
