topic_id,update_month,topic,total_evidence_items,a_count,b_count,ab_count,a_share_percent,ab_share_percent,items_per_a_evidence_proxy,evidence_yield_label,reader_note,last_checked
身体活动与健康寿命,2026-07,身体活动与健康寿命,317,95,219,314,30.0,99.1,3.3,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
血压与健康寿命,2026-07,血压与健康寿命,289,45,241,286,15.6,99.0,6.4,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
饮食模式与死亡风险,2026-07,饮食模式与死亡风险,254,69,182,251,27.2,98.8,3.7,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
抗阻训练、肌肉与衰弱,2026-07,抗阻训练、肌肉与衰弱,233,49,183,232,21.0,99.6,4.8,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
心肺适能与死亡风险,2026-07,心肺适能与死亡风险,227,59,156,215,26.0,94.7,3.8,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
二甲双胍与衰老,2026-07,二甲双胍与衰老,227,0,221,221,0.0,97.4,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
GLP-1、减重与心代谢结局,2026-07,GLP-1、减重与心代谢结局,225,28,194,222,12.4,98.7,8.0,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
限时进食与代谢健康,2026-07,限时进食与代谢健康,223,0,223,223,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
LDL-C/apoB 与心血管风险,2026-07,LDL-C/apoB 与心血管风险,217,45,165,210,20.7,96.8,4.8,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
睡眠与健康结局,2026-07,睡眠与健康结局,190,33,157,190,17.4,100.0,5.8,A/B 混合,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
微生物组与炎症性衰老,2026-07,微生物组与炎症性衰老,185,0,185,185,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
表观遗传时钟,2026-07,表观遗传时钟,136,0,136,136,0.0,100.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
热量限制与人体衰老,2026-07,热量限制与人体衰老,133,0,127,127,0.0,95.5,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
Klotho / IL-11,2026-07,Klotho / IL-11,55,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
Senolytics 清除衰老细胞,2026-07,Senolytics 清除衰老细胞,26,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
雷帕霉素/mTOR 与衰老,2026-07,雷帕霉素/mTOR 与衰老,25,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
NAD/NMN/NR,2026-07,NAD/NMN/NR,22,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
自噬/线粒体自噬,2026-07,自噬/线粒体自噬,16,0,0,0,0.0,0.0,,主要 B 级或待复核,按本库证据等级表统计；用于展示高等级证据分布，不等同于全 PubMed 分母。,2026-07-29
