topic,A,B,C,D,E,total
血压与健康寿命,16,84,0,0,0,100
热量限制与人体衰老,0,60,29,11,0,100
心肺适能与死亡风险,24,72,4,0,0,100
饮食模式与死亡风险,59,41,0,0,0,100
GLP-1、减重与心代谢结局,18,82,0,0,0,100
LDL-C/apoB 与心血管风险,10,87,3,0,0,100
身体活动与健康寿命,42,58,0,0,0,100
抗阻训练、肌肉与衰弱,30,70,0,0,0,100
睡眠与健康结局,24,76,0,0,0,100
限时进食与代谢健康,0,100,0,0,0,100
表观遗传时钟,0,36,39,22,0,97
微生物组与炎症性衰老,0,38,15,19,0,72
Klotho / IL-11,0,0,40,29,0,69
自噬/线粒体自噬,0,0,21,34,0,55
二甲双胍与衰老,0,44,2,0,0,46
雷帕霉素/mTOR 与衰老,0,0,24,22,0,46
Senolytics 清除衰老细胞,0,0,23,23,0,46
NAD/NMN/NR,0,0,17,20,0,37
部分重编程,0,0,0,29,0,29
ITP 小鼠寿命干预,0,0,0,3,0,3
