finding_id,candidate_id,pmid,doi,title_en,topic_id,study_type,species,previous_level,decision,reason,retired_date,recovery_source
finding-pubmed-14638559,pubmed-14638559,14638559,10.1001/archinte.163.21.2594,Risk of fatal and nonfatal lactic acidosis with metformin use in type 2 diabetes mellitus: systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-15189360,pubmed-15189360,15189360,10.1111/j.1365-2796.2004.01328.x,"The effect of metformin on blood pressure, plasma cholesterol and triglycerides in type 2 diabetes mellitus: a systematic review.",metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-16153370,pubmed-16153370,16153370,10.1157/13078602,[Metformin for type-2 diabetes mellitus. Systematic review and meta-analysis].,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-19290462,pubmed-19290462,19290462,10.1007/s00592-009-0104-9,Failure to metformin and insulin secretagogue monotherapy: an observational cohort study.,metformin-aging,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-19556031,pubmed-19556031,19556031,10.1016/j.annemergmed.2009.04.023,"Acute metformin overdose: examining serum pH, lactate level, and metformin concentrations in survivors versus nonsurvivors: a systematic review of the literature.",metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-20301298,pubmed-20301298,20301298,,Dystrophinopathies.,resistance-training-muscle,metadata_only_needs_classification,needs_review,E,retired_from_active_findings,title_topic_signal_missing,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-20947488,pubmed-20947488,20947488,10.1158/1940-6207.CAPR-10-0157,Metformin and cancer risk in diabetic patients: a systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-21565945,pubmed-21565945,21565945,10.1093/ndt/gfr188,Lack of association of Klotho gene variants with valvular and vascular calcification in Caucasians: a candidate gene study of the Framingham Offspring Cohort.,klotho-il11-aging,human_cohort,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-22046219,pubmed-22046219,22046219,,Second-line therapy in patients with type 2 diabetes inadequately controlled with metformin monotherapy: a systematic review and mixed-treatment comparison meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-22448244,pubmed-22448244,22448244,10.1371/journal.pone.0033411,Cancer risk in diabetic patients treated with metformin: a systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
